0.74,-0.068553,0.515
0.75,-0.063526,0.49022
0.76,-0.058757,0.4632
0.77,-0.054275,0.43298
0.78,-0.050103,0.4011
0.79,-0.046263,0.36679
0.8,-0.042769,0.33204
0.81,-0.039621,0.29739
0.82,-0.036825,0.26183
0.83,-0.034385,0.22633
0.84,-0.032291,0.19289
0.85,-0.030519,0.16141
0.86,-0.029062,0.13077
0.87,-0.027887,0.10433
0.88,-0.026969,0.079856
0.89,-0.026278,0.058664
0.9,-0.025783,0.040754
0.91,-0.025449,0.026576
0.92,-0.025236,0.016406
0.93,-0.025112,0.008803
0.94,-0.025047,0.0048776
0.95,-0.025,0.0046387
0.96,-0.024951,0.0055953
0.97,-0.024875,0.0099933
0.98,-0.024738,0.01776
0.99,-0.024509,0.028282
1,-0.024167,0.040416
1.01,-0.023691,0.054767
1.02,-0.023068,0.070116
1.03,-0.022284,0.086661
1.04,-0.021333,0.10357
1.05,-0.020213,0.12033
1.06,-0.018926,0.13696
1.07,-0.01748,0.15218
1.08,-0.015881,0.16732
1.09,-0.014142,0.18034
1.1,-0.012283,0.19135
1.11,-0.010315,0.202
1.12,-0.0082532,0.21012
1.13,-0.0061176,0.21669
1.14,-0.003928,0.22103
1.15,-0.0017026,0.22354
1.16,0.00052835,0.22251
1.17,0.0027435,0.22026
1.18,0.0049263,0.21606
1.19,0.0070576,0.20999
1.2,0.0091203,0.20241
1.21,0.011102,0.19361
1.22,0.012986,0.18293
1.23,0.014753,0.17045
1.24,0.016389,0.15666
1.25,0.017888,0.14335
1.26,0.01926,0.13062
1.27,0.020492,0.11598
1.28,0.021582,0.10202
1.29,0.02253,0.087657
1.3,0.023338,0.07401
1.31,0.024015,0.061558
1.32,0.024573,0.05013
1.33,0.025017,0.038878
1.34,0.02536,0.029892
1.35,0.025619,0.021901
1.36,0.025799,0.014371
1.37,0.025913,0.0086802
1.38,0.025982,0.0052076
1.39,0.026019,0.0024927
1.4,0.026037,0.0011316
1.41,0.026047,0.00099964
1.42,0.02606,0.0019423
1.43,0.026093,0.0048205
1.44,0.026158,0.0082446
1.45,0.026263,0.01283
1.46,0.026413,0.017146
1.47,0.026608,0.021948
1.48,0.026856,0.027749
1.49,0.027163,0.033537
1.5,0.027527,0.039321
1.51,0.027788,0.012934
1.52,0.027785,-0.013586
1.53,0.027517,-0.040115
1.54,0.02698,-0.067244
1.55,0.026174,-0.09423
1.56,0.02509,-0.12265
1.57,0.023717,-0.15193
1.58,0.022052,-0.18125
1.59,0.020089,-0.21154
1.6,0.017814,-0.24285
1.61,0.015247,-0.27019
1.62,0.012421,-0.29472
1.63,0.0093628,-0.31631
1.64,0.0061096,-0.33399
1.65,0.0026926,-0.34901
1.66,-0.00085949,-0.36089
1.67,-0.0045104,-0.36878
1.68,-0.008221,-0.37271
